item_id,subject,n_models,n_calls,difficulty,acc_spread,error_rate,parse_fail_rate
history:4830,history,8,40,0.0,0.0,0.0,0.125
history:4683,history,8,40,0.0,0.0,0.0,0.0
history:4854,history,8,40,0.0,0.0,0.0,0.0
history:5051,history,8,40,0.0,0.0,0.0,0.0
history:4737,history,8,40,0.0,0.0,0.0,0.0
history:4682,history,8,40,0.0,0.0,0.0,0.0
law:1110,law,8,40,0.0,0.0,0.0,0.0
law:887,law,8,40,0.0,0.0,0.0,0.0
law:1221,law,8,40,0.0,0.0,0.0,0.0
law:1588,law,8,40,0.0,0.0,0.0,0.0
law:1773,law,8,40,0.0,0.0,0.0,0.0
law:1418,law,8,40,0.0,0.0,0.0,0.0
psychology:2704,psychology,8,40,0.0,0.0,0.0,0.0
psychology:2592,psychology,8,40,0.0,0.0,0.0,0.0
psychology:2505,psychology,8,40,0.0,0.0,0.0,0.0
psychology:2432,psychology,8,40,0.0,0.0,0.0,0.0
psychology:2532,psychology,8,40,0.0,0.0,0.0,0.0
psychology:2595,psychology,8,40,0.0,0.0,0.0,0.0
psychology:2700,psychology,8,40,0.0,0.0,0.0,0.0
psychology:2767,psychology,8,40,0.0,0.0,0.0,0.0
engineering:12129,engineering,8,40,0.0208,0.1667,0.0,0.0
history:4883,history,8,40,0.0208,0.1667,0.0,0.0
history:4764,history,8,40,0.0208,0.1667,0.0,0.0
psychology:2510,psychology,8,40,0.0208,0.1667,0.0,0.0
history:4678,history,8,40,0.0417,0.3333,0.0,0.0
law:1032,law,8,40,0.0625,0.5,0.0,0.0
psychology:2105,psychology,8,40,0.0625,0.5,0.0,0.0
engineering:12111,engineering,8,40,0.0833,0.3333,0.0,0.0
history:4893,history,8,40,0.0833,0.6667,0.0,0.0
history:5043,history,8,40,0.0833,0.3333,0.0,0.0
history:4886,history,8,40,0.0833,0.6667,0.0,0.0
law:930,law,8,40,0.0833,0.6667,0.0,0.0
history:4685,history,8,40,0.1042,0.5,0.0,0.0
law:1127,law,8,40,0.1042,0.8333,0.0,0.0
law:1470,law,8,40,0.1042,0.3333,0.0,0.0
history:4906,history,8,40,0.125,0.6667,0.0,0.075
history:5040,history,8,40,0.125,0.5,0.0,0.0
psychology:2347,psychology,8,40,0.125,0.5,0.0,0.0
math:8536,math,8,40,0.1458,1.0,0.0,0.05
physics:9554,physics,8,40,0.1458,1.0,0.125,0.0286
engineering:11639,engineering,8,40,0.1458,1.0,0.0,0.0
law:868,law,8,40,0.1458,1.0,0.0,0.025
law:1955,law,8,40,0.1458,1.0,0.0,0.0
law:1654,law,8,40,0.1458,1.0,0.0,0.0
psychology:2240,psychology,8,40,0.1458,1.0,0.0,0.0
physics:9752,physics,8,40,0.1542,0.5,0.0,0.025
law:1888,law,8,40,0.1625,0.8,0.0,0.025
math:7755,math,8,40,0.1667,0.6667,0.0,0.0
physics:10226,physics,8,40,0.1667,1.0,0.0,0.15
engineering:11862,engineering,8,40,0.1667,0.5,0.0,0.075
engineering:11494,engineering,8,40,0.1667,1.0,0.0,0.0
engineering:12054,engineering,8,40,0.1667,0.5,0.0,0.0
math:8936,math,8,40,0.1875,1.0,0.0,0.0
engineering:12094,engineering,8,40,0.1875,1.0,0.0,0.05
engineering:11944,engineering,8,40,0.1875,0.6667,0.0,0.0
history:4941,history,8,40,0.1875,1.0,0.0,0.0
psychology:2161,psychology,8,40,0.1875,1.0,0.0,0.0
engineering:11777,engineering,7,40,0.1905,0.8333,0.0,0.15
math:8743,math,8,40,0.2083,0.6667,0.0,0.0
law:1158,law,8,40,0.2083,0.6667,0.0,0.0
engineering:11461,engineering,8,40,0.2292,1.0,0.0,0.075
history:4672,history,8,40,0.2292,1.0,0.0,0.0
law:1013,law,8,40,0.2292,1.0,0.0,0.0
law:1824,law,8,40,0.2292,1.0,0.0,0.0
law:1068,law,8,40,0.2396,0.8333,0.0,0.05
law:1493,law,8,40,0.2417,0.8333,0.0,0.025
physics:10027,physics,8,40,0.25,1.0,0.0,0.0
engineering:11997,engineering,8,40,0.25,1.0,0.075,0.1351
engineering:11645,engineering,8,40,0.25,1.0,0.0,0.0
law:1683,law,8,40,0.25,1.0,0.0,0.025
law:1656,law,8,40,0.25,1.0,0.0,0.0
math:8178,math,8,40,0.2708,1.0,0.0,0.0
math:8088,math,8,40,0.2708,1.0,0.0,0.0
math:8526,math,8,40,0.2708,1.0,0.0,0.1
physics:9474,physics,8,40,0.2708,1.0,0.0,0.0
physics:9678,physics,8,40,0.2708,0.6667,0.0,0.0
engineering:11892,engineering,8,40,0.2708,1.0,0.0,0.0
engineering:11613,engineering,8,40,0.2708,0.6667,0.0,0.0
physics:9158,physics,7,40,0.2857,1.0,0.0,0.15
engineering:11307,engineering,8,40,0.2917,1.0,0.0,0.0
history:5048,history,8,40,0.2917,1.0,0.0,0.0
history:4929,history,8,40,0.2917,0.8333,0.0,0.0
law:1051,law,8,40,0.2917,1.0,0.0,0.0
law:1556,law,8,40,0.2917,0.8333,0.0,0.0
law:888,law,8,40,0.2917,1.0,0.0,0.0
law:1566,law,8,40,0.2917,1.0,0.0,0.0
psychology:2401,psychology,8,40,0.2917,1.0,0.0,0.0
psychology:2635,psychology,8,40,0.2917,0.6667,0.0,0.0
engineering:11913,engineering,7,40,0.3095,1.0,0.0,0.15
math:8847,math,8,40,0.3125,1.0,0.075,0.1081
physics:9490,physics,8,40,0.3125,1.0,0.0,0.05
engineering:12161,engineering,8,40,0.3125,1.0,0.0,0.075
law:1090,law,8,40,0.3125,1.0,0.0,0.075
physics:10210,physics,8,40,0.3333,1.0,0.0,0.0
history:4848,history,8,40,0.3333,1.0,0.0,0.0
law:1561,law,8,40,0.3333,1.0,0.0,0.0
law:1586,law,7,40,0.3333,1.0,0.0,0.05
psychology:2385,psychology,8,40,0.3333,1.0,0.0,0.0
engineering:11912,engineering,8,40,0.3542,1.0,0.0,0.0
engineering:11548,engineering,8,40,0.3542,1.0,0.0,0.0
engineering:12244,engineering,7,40,0.3571,1.0,0.0,0.15
math:7812,math,8,40,0.375,1.0,0.0,0.0
math:8346,math,8,40,0.375,1.0,0.0,0.0
math:7918,math,8,40,0.375,1.0,0.0,0.0
math:8410,math,8,40,0.375,1.0,0.0,0.0
physics:9886,physics,8,40,0.375,1.0,0.0,0.0
physics:9295,physics,8,40,0.375,1.0,0.0,0.0
engineering:11937,engineering,8,40,0.375,1.0,0.0,0.0
engineering:11337,engineering,8,40,0.375,1.0,0.0,0.0
engineering:12252,engineering,8,40,0.375,1.0,0.0,0.0
engineering:11398,engineering,8,40,0.375,1.0,0.0,0.0
engineering:11814,engineering,8,40,0.375,1.0,0.0,0.0
engineering:11342,engineering,8,40,0.375,1.0,0.0,0.0
law:1208,law,8,40,0.375,1.0,0.0,0.0
psychology:2241,psychology,8,40,0.375,1.0,0.0,0.0
math:8592,math,8,40,0.3958,1.0,0.0,0.05
engineering:12228,engineering,8,40,0.3958,1.0,0.0,0.0
engineering:11859,engineering,8,40,0.3958,1.0,0.0,0.0
engineering:12197,engineering,8,40,0.3958,1.0,0.0,0.0
history:4694,history,8,40,0.3958,1.0,0.0,0.0
law:1625,law,8,40,0.3958,1.0,0.0,0.0
law:1382,law,8,40,0.3958,1.0,0.0,0.0
psychology:2346,psychology,8,40,0.3958,1.0,0.0,0.0
physics:9604,physics,7,40,0.4048,1.0,0.125,0.1714
math:8224,math,8,40,0.4167,1.0,0.0,0.0
physics:9793,physics,8,40,0.4167,1.0,0.0,0.0
physics:9690,physics,8,40,0.4167,1.0,0.0,0.0
physics:10272,physics,8,40,0.4167,1.0,0.0,0.025
physics:9080,physics,8,40,0.4167,1.0,0.0,0.0
physics:9891,physics,8,40,0.4167,1.0,0.0,0.0
physics:9270,physics,8,40,0.4167,1.0,0.0,0.0
physics:9134,physics,8,40,0.4167,1.0,0.0,0.0
physics:9713,physics,8,40,0.4167,1.0,0.0,0.0
engineering:11560,engineering,8,40,0.4167,1.0,0.0,0.075
engineering:11397,engineering,8,40,0.4167,1.0,0.0,0.0
engineering:11428,engineering,8,40,0.4167,1.0,0.0,0.0
history:4942,history,8,40,0.4167,1.0,0.0,0.0
history:4988,history,8,40,0.4167,1.0,0.0,0.0
law:1399,law,8,40,0.4167,1.0,0.0,0.0
law:1168,law,8,40,0.4167,1.0,0.0,0.0
math:7924,math,8,40,0.4375,1.0,0.0,0.0
math:8075,math,8,40,0.4375,1.0,0.0,0.0
physics:9733,physics,8,40,0.4375,1.0,0.0,0.0
physics:10305,physics,8,40,0.4375,1.0,0.0,0.0
physics:9246,physics,8,40,0.4375,1.0,0.0,0.0
engineering:11491,engineering,8,40,0.4375,1.0,0.0,0.0
history:4832,history,8,40,0.4375,1.0,0.0,0.0
law:1077,law,8,40,0.4375,1.0,0.0,0.0
law:985,law,8,40,0.4375,1.0,0.0,0.0
math:8669,math,8,40,0.4583,1.0,0.0,0.0
physics:9785,physics,8,40,0.4583,1.0,0.0,0.0
physics:9050,physics,8,40,0.4583,1.0,0.0,0.0
engineering:11718,engineering,8,40,0.4583,1.0,0.0,0.025
history:4856,history,8,40,0.4583,1.0,0.0,0.0
law:1774,law,8,40,0.4583,1.0,0.0,0.0
math:7984,math,8,40,0.4792,1.0,0.0,0.0
math:8335,math,8,40,0.4792,1.0,0.0,0.0
math:8503,math,8,40,0.4792,1.0,0.0,0.0
physics:9562,physics,8,40,0.4792,1.0,0.0,0.0
physics:9923,physics,8,40,0.4792,1.0,0.0,0.0
physics:9408,physics,8,40,0.4792,1.0,0.0,0.0
physics:9252,physics,8,40,0.4792,1.0,0.0,0.0
engineering:11746,engineering,8,40,0.4792,1.0,0.0,0.0
engineering:12069,engineering,8,40,0.4792,1.0,0.0,0.0
engineering:12180,engineering,8,40,0.4792,1.0,0.0,0.0
law:1071,law,8,40,0.4792,1.0,0.0,0.0
law:1642,law,8,40,0.4792,1.0,0.0,0.0
law:945,law,8,40,0.4792,1.0,0.0,0.0
law:1945,law,8,40,0.4792,1.0,0.0,0.025
psychology:2001,psychology,8,40,0.4792,1.0,0.0,0.0
psychology:2441,psychology,8,40,0.4792,1.0,0.0,0.0
psychology:2794,psychology,8,40,0.4792,1.0,0.0,0.0
math:8001,math,8,40,0.5,1.0,0.0,0.0
math:8478,math,8,40,0.5,1.0,0.0,0.0
math:8351,math,8,40,0.5,1.0,0.0,0.0
math:8287,math,8,40,0.5,1.0,0.0,0.0
math:8015,math,8,40,0.5,1.0,0.0,0.0
math:8655,math,8,40,0.5,1.0,0.0,0.0
math:7875,math,8,40,0.5,1.0,0.0,0.0
physics:9237,physics,8,40,0.5,1.0,0.0,0.0
physics:10069,physics,8,40,0.5,1.0,0.0,0.0
physics:9509,physics,8,40,0.5,1.0,0.0,0.0
engineering:11698,engineering,8,40,0.5,1.0,0.0,0.0
engineering:12165,engineering,8,40,0.5,1.0,0.0,0.0
engineering:11513,engineering,8,40,0.5,1.0,0.0,0.0
engineering:11700,engineering,8,40,0.5,1.0,0.0,0.0
engineering:11831,engineering,8,40,0.5,1.0,0.0,0.0
engineering:11638,engineering,8,40,0.5,1.0,0.0,0.0
history:4912,history,8,40,0.5,1.0,0.0,0.0
law:1119,law,8,40,0.5,1.0,0.0,0.0
math:7736,math,8,40,0.5208,1.0,0.0,0.0
math:7735,math,8,40,0.5208,1.0,0.0,0.0
math:8746,math,8,40,0.5208,1.0,0.0,0.0
physics:9073,physics,8,40,0.5208,1.0,0.0,0.0
physics:10147,physics,8,40,0.5208,1.0,0.0,0.0
physics:10022,physics,8,40,0.5208,1.0,0.0,0.0
physics:10079,physics,8,40,0.5208,1.0,0.0,0.0
engineering:11449,engineering,8,40,0.5208,1.0,0.0,0.0
engineering:11473,engineering,8,40,0.5208,1.0,0.0,0.0
law:1388,law,8,40,0.5208,1.0,0.0,0.0
psychology:2284,psychology,8,40,0.5208,1.0,0.0,0.0
math:8813,math,8,40,0.5417,1.0,0.0,0.0
math:8348,math,8,40,0.5417,1.0,0.0,0.0
math:8314,math,8,40,0.5417,0.8333,0.0,0.0
physics:9836,physics,8,40,0.5417,1.0,0.0,0.0
physics:9998,physics,8,40,0.5417,1.0,0.0,0.0
engineering:12087,engineering,8,40,0.5417,1.0,0.0,0.0
engineering:11807,engineering,8,40,0.5417,1.0,0.0,0.0
history:4770,history,8,40,0.5417,1.0,0.0,0.0
history:4751,history,8,40,0.5417,1.0,0.0,0.0
history:4964,history,8,40,0.5417,1.0,0.0,0.0
law:1792,law,8,40,0.5417,1.0,0.0,0.0
law:1804,law,8,40,0.5417,1.0,0.0,0.0
psychology:2150,psychology,8,40,0.5417,1.0,0.0,0.0
math:8083,math,8,40,0.5625,1.0,0.0,0.0
math:8580,math,8,40,0.5625,1.0,0.0,0.0
physics:9514,physics,8,40,0.5625,1.0,0.0,0.0
physics:9266,physics,8,40,0.5625,1.0,0.0,0.0
physics:9146,physics,8,40,0.5625,1.0,0.0,0.0
physics:9454,physics,8,40,0.5625,1.0,0.0,0.0
engineering:11365,engineering,8,40,0.5625,1.0,0.0,0.0
engineering:12023,engineering,8,40,0.5625,1.0,0.0,0.05
engineering:11376,engineering,8,40,0.5625,1.0,0.0,0.0
history:4673,history,8,40,0.5625,1.0,0.0,0.0
law:1969,law,8,40,0.5625,1.0,0.0,0.075
law:1314,law,8,40,0.5625,1.0,0.0,0.0
psychology:2618,psychology,8,40,0.5625,1.0,0.0,0.0
psychology:2022,psychology,8,40,0.5625,1.0,0.0,0.0
math:8866,math,8,40,0.5833,1.0,0.0,0.0
math:8329,math,8,40,0.5833,1.0,0.0,0.0
math:8967,math,8,40,0.5833,1.0,0.0,0.0
physics:9135,physics,8,40,0.5833,1.0,0.0,0.0
physics:9338,physics,8,40,0.5833,1.0,0.0,0.0
physics:10292,physics,8,40,0.5833,1.0,0.0,0.0
physics:9984,physics,8,40,0.5833,1.0,0.0,0.0
history:4806,history,8,40,0.5833,1.0,0.0,0.0
history:4716,history,8,40,0.5833,1.0,0.0,0.0
law:1937,law,8,40,0.5833,1.0,0.0,0.0
law:1545,law,8,40,0.5833,1.0,0.0,0.0
law:1240,law,8,40,0.5833,1.0,0.0,0.0
psychology:2627,psychology,8,40,0.5833,1.0,0.0,0.0
math:7959,math,8,40,0.6042,1.0,0.0,0.0
math:8995,math,8,40,0.6042,1.0,0.0,0.0
math:8626,math,8,40,0.6042,1.0,0.0,0.0
math:8381,math,8,40,0.6042,1.0,0.0,0.0
physics:9321,physics,8,40,0.6042,1.0,0.0,0.0
physics:9272,physics,8,40,0.6042,1.0,0.0,0.0
engineering:11420,engineering,8,40,0.6042,1.0,0.0,0.0
engineering:11662,engineering,8,40,0.6042,0.8333,0.0,0.0
law:1885,law,8,40,0.6042,1.0,0.0,0.0
law:1744,law,8,40,0.6042,1.0,0.0,0.0
law:1214,law,8,40,0.6042,1.0,0.0,0.0
law:978,law,8,40,0.6042,1.0,0.0,0.0
law:1027,law,8,40,0.6042,1.0,0.0,0.0
law:1474,law,8,40,0.6042,1.0,0.0,0.0
math:8634,math,8,40,0.625,1.0,0.0,0.0
math:9024,math,8,40,0.625,1.0,0.0,0.0
math:8183,math,8,40,0.625,1.0,0.0,0.0
math:7721,math,8,40,0.625,1.0,0.0,0.0
math:8766,math,8,40,0.625,1.0,0.0,0.0
math:8693,math,8,40,0.625,1.0,0.0,0.0
math:8636,math,8,40,0.625,1.0,0.0,0.0
math:8554,math,8,40,0.625,1.0,0.0,0.0
math:9013,math,8,40,0.625,1.0,0.0,0.0
physics:9376,physics,8,40,0.625,1.0,0.0,0.0
physics:9884,physics,8,40,0.625,1.0,0.0,0.0
physics:10084,physics,8,40,0.625,1.0,0.0,0.0
engineering:11940,engineering,8,40,0.625,1.0,0.0,0.0
engineering:12198,engineering,8,40,0.625,1.0,0.0,0.0
engineering:11451,engineering,8,40,0.625,1.0,0.0,0.0
engineering:11665,engineering,8,40,0.625,1.0,0.0,0.0
history:4972,history,8,40,0.625,1.0,0.0,0.0
law:1537,law,8,40,0.625,1.0,0.0,0.0
law:1310,law,8,40,0.625,1.0,0.0,0.0
law:1924,law,8,40,0.625,1.0,0.0,0.0
math:8598,math,8,40,0.6458,1.0,0.0,0.0
math:8209,math,8,40,0.6458,1.0,0.0,0.0
physics:9407,physics,8,40,0.6458,1.0,0.0,0.0
physics:9660,physics,8,40,0.6458,1.0,0.0,0.0
physics:10289,physics,8,40,0.6458,1.0,0.0,0.0
physics:9883,physics,8,40,0.6458,1.0,0.0,0.0
engineering:11351,engineering,8,40,0.6458,1.0,0.0,0.0
engineering:11528,engineering,8,40,0.6458,1.0,0.0,0.0
history:4779,history,8,40,0.6458,1.0,0.0,0.0
law:1813,law,8,40,0.6458,1.0,0.0,0.0
law:927,law,8,40,0.6458,0.8333,0.0,0.0
